ladder,delta_nominal,delta_actual,mu,branch,q,p,Pq,Pp,J_reduced,kappa_F,trace_DF,det_DF_error,fixed_point_residual,A_orb_if_mean,rho_orb_if_mean
A,0.02,0.020000000007873112,0.6628074587750346,Q,0.0014235507247230372,-6.26780279453748e-12,-0.001632295483425139,4.821675711192151e-12,-1.2354812994885833e-07,0.08041300497869625,2.0064697364880484,3.6193270602780103e-14,4.395331091327738e-14
A,0.02,0.020000000007873112,0.6628074587750346,P,-7.165836192253527e-05,0.016146352260802587,-7.165836195799358e-05,-0.016146352260692526,-1.2354812106707413e-07,0.08041300493981485,2.0064697364817885,-1.0913492332065289e-13,7.1546072943802e-14
A,0.02,0.020000000007873112,0.6628074587750346,MEAN,,,,,-1.2354812550796623e-07,0.08041300495925555,,,,202.35029804698098,2.0103251231900128
A,0.01,0.00999999999949073,0.6628383082964905,Q,0.0010268849502045616,-2.0835576933947543e-11,-0.0011312605483948523,1.7274825333807607e-11,-3.078707244696943e-08,0.04011798519319985,2.001609668609052,-1.3170575741128232e-12,9.762929855514952e-14
A,0.01,0.00999999999949073,0.6628383082964905,P,-3.587155283114138e-05,0.01140326826400811,-3.58715528960829e-05,-0.011403268263864497,-3.078705113068736e-08,0.04011798521900718,2.001609668611123,-1.9351187319216478e-13,4.375327559119648e-14
A,0.01,0.00999999999949073,0.6628383082964905,MEAN,,,,,-3.0787061788828396e-08,0.04011798520610352,,,,203.00735556490588,2.0058992604073302
A,0.005,0.005000000001110732,0.662853676522959,Q,0.0007364528646072524,5.0567790864847397e-11,-0.0007886413087918598,-4.403879551335114e-11,-7.68423369379434e-09,0.020035770592934102,2.00040144553241,-2.859934511434403e-13,5.813878932051198e-14
A,0.005,0.005000000001110732,0.662853676522959,P,-1.7946314111306563e-05,0.008058386944589428,-1.7946314205818936e-05,-0.008058386944527198,-7.684228364723822e-09,0.020035770617191872,2.0004014455333823,6.086242620995108e-13,1.439592732075425e-13
A,0.005,0.005000000001110732,0.662853676522959,MEAN,,,,,-7.684231029259081e-09,0.020035770605062987,,,,203.3384986402296,2.003577060061211
B,0.016,0.01600000000283144,0.6628198166401073,Q,0.0012824439238426463,-4.574517781507734e-12,-0.001449441954732844,3.675925549778989e-12,-7.896858811307084e-08,0.06427487942216553,2.0041326825964596,-4.063416270128073e-13,1.159140320275364e-13
B,0.016,0.01600000000283144,0.6628198166401073,P,-5.73538641774189e-05,0.014434700007212085,-5.7353864166831414e-05,-0.014434700007211542,-7.896855258593405e-08,0.06427487941720122,2.004132682595821,1.7141843500212417e-13,1.6555232584891756e-14
B,0.016,0.01600000000283144,0.6628198166401073,MEAN,,,,,-7.896857034950244e-08,0.06427487941968338,,,,202.61225364533516,2.0085899815096555
B,0.008,0.008000000000314774,0.662844460119181,Q,0.0009231626113543363,-2.3777784018586783e-12,-0.0010066635230296939,2.080757107997564e-12,-1.969090845932442e-08,0.03207966486222311,2.001029193155441,-1.0501599589929356e-12,2.713505091190722e-14
B,0.008,0.008000000000314774,0.662844460119181,P,-2.8703993451378578e-05,0.010196894802619162,-2.870399352206121e-05,-0.010196894802513465,-1.9690887143042346e-08,0.03207966488724755,2.0010291931570467,-2.956523914576792e-13,7.681934413862948e-14
B,0.008,0.008000000000314774,0.662844460119181,MEAN,,,,,-1.9690897801183382e-08,0.032079664874735334,,,,203.1395440016139,2.0049790545920687
B,0.004,0.003999999999745005,0.6628567456330406,Q,0.0006610827728707373,-7.880008475004236e-11,-0.0007028336212311359,6.980347343171241e-11,-4.916323348425067e-09,0.016024831708337194,2.0002568007266435,-1.3243850460753492e-12,1.1899372829148346e-13
B,0.004,0.003999999999745005,0.6628567456330406,P,-1.4358734037659798e-05,0.00720675522094831,-1.4358733623431874e-05,-0.007206755221161574,-4.916280715860921e-09,0.01602483176932994,2.0002568007285983,1.5587531265737198e-13,1.863616642232915e-14
B,0.004,0.003999999999745005,0.6628567456330406,MEAN,,,,,-4.916302032142994e-09,0.016024831738833567,,,,203.4049155919347,2.003103967481891
