u_target,delta_actual,mu,q,p,Pq,Pp,I_linear_proxy_not_full_NF,J_reduced,theta_F,trace_DF,det_DF_error,fixed_point_residual,Y_exact_norm,Y_scalar,Z_exact_norm,Z_scalar,G_ell,nuJ_data,nuJ_scalar,nuTheta_data,nuTheta_scalar,Q_NF,P_NF,I_NF,Qcomp_NF,Pcomp_NF,Icomp_NF,NF_odd_pair_residual,u_actual,X_NF_norm,X_scalar,X_rel_dev,Y_rel_dev,Z_rel_dev,I_pair_rel_diff,Y_from_X_scalar_relation,Z_from_X_scalar_relation,Y_X_relation_rel_dev,Z_X_relation_rel_dev,I_NF_cross_discretization_rel_diff
0.0,0.0,0.6628690069305101,0.0002568391853463,0.0028339569737218,-0.0002672591917458,-0.0027036535478774,7.285494958748042e-07,-1.6910235413122717e-13,0.0001626845065363,1.999999973533752,-9.674810059727557e-24,1.8e-32,1.000551346703539,1.0,0.999971472963722,1.0,885902.9191779069,,,,,0.0008518360046263,0.0008516902911626,7.255004654192882e-07,-0.0008518360466014,-0.0008516902769602,7.255004890791089e-07,4.431268480674587e-11,0.0,1.0003674379521694,1.0,0.0003674379521694,0.0005513467035389,-2.852703627787001e-05,3.2611723737791984e-08,1.002205843007287,1.000734943409661,-0.0016508547772816,-0.0007629097504456,1.2377579597699695e-13
0.01,1.0486618783005924e-08,0.6628690068984181,0.0002577771969133,0.0028447619932606,-0.0002682750611784,-0.0027134861145677,7.340032155220547e-07,-1.766911146174604e-13,0.0001651190707952,1.9999999727356923,-2.311484337269576e-13,1.67443503438761e-13,1.045452818142659,1.0451669596710929,1.0149359883919558,1.0149165541946468,886023.2618503042,0.0762725588093844,0.0433749293917024,0.0259450430476945,0.0146166139634616,0.0008550114355395,0.0008548641035102,7.309185951868338e-07,-0.0008550114795483,-0.0008548640887545,7.30918620200807e-07,4.641665216273271e-11,0.0099997891405971,1.0078383092367518,1.0074444224301295,0.0003909762145211,0.0002735050787063,1.9148566676408865e-05,3.422265261059308e-08,1.0475847335601287,1.0157073375548005,-0.002035076828797,-0.0007594206857869,1.2424526088782563e-13
0.03,3.1460416454527176e-08,0.6628690068341905,0.0002595975138549,0.0028657400766969,-0.0002702473312261,-0.0027325663289429,7.446474624047541e-07,-1.921350329139613e-13,0.000169893345349,1.9999999711362515,-2.483568906086475e-13,2.0701468551301415e-13,1.136831991007112,1.136496251842435,1.044281981194481,1.044272817009589,886007.787929226,0.1470610323416725,0.1214008460372865,0.051480989970668,0.0417289321605398,0.0008611751080355,0.0008610245789887,7.414929461614614e-07,-0.0008611751536075,-0.0008610245631845,7.414929717990167e-07,4.823460187361221e-11,0.029999901525024,1.02241891517252,1.0220152547040824,0.0003949652087673,0.0002954159893908,8.775661630544878e-06,3.457558897111451e-08,1.1390820325354571,1.0450891040093209,-0.0019753112278812,-0.0007723004782496,1.2515673063736045e-13
0.1,1.0486820193928725e-07,0.6628690066093947,0.0002655127465282,0.0029339990450845,-0.0002766642131049,-0.0027945602464741,7.797907290225231e-07,-2.4790025266380544e-13,0.0001858996856315,1.999999965441307,-2.9465319073551655e-13,1.5521731079086684e-13,1.466785799199673,1.4661131210800615,1.142668016901444,1.1426286730565427,885903.964817839,0.3398323779612865,0.3284456723315973,0.1238795593340178,0.119163119491501,0.0008812170469956,0.0008810557990813,7.764014025052763e-07,-0.0008812170975945,-0.0008810557794003,7.764014297538396e-07,5.429169227819809e-11,0.0999998120124132,1.070552975314501,1.07008758889254,0.0004349049804819,0.0004588173381298,3.443274777631425e-05,3.5095973815628784e-08,1.4695221253000437,1.1435921034736938,-0.0018620516515273,-0.0008080560974868,1.2812246593335333e-13
0.3,3.146036831005247e-07,0.6628690059671228,0.0002792574106766,0.0030931233790059,-0.0002916211031447,-0.0029385482235616,8.647315087811646e-07,-4.2018322612087797e-13,0.0002259726325298,1.9999999489363696,-3.0520030946945563e-13,6.066175246532613e-12,2.4861563572984378,2.4844769048486723,1.3889840588470168,1.3961872141593112,885704.9279910802,0.6634070831962646,0.6461780749368584,0.2687961579945178,0.2556822141308192,0.0009278618071531,0.0009276701013329,8.607496750403031e-07,-0.0009278618607997,-0.0009276700703489,8.607496960739885e-07,6.195139304339468e-11,0.2999985561560314,1.186857883875505,1.1892016519981825,-0.0019708752663932,0.0006759782900327,-0.005159161492989,2.4436472091417877e-08,2.461487343556397,1.391064157412202,0.0100219949562682,-0.0014953289926287,1.3503655564210132e-13
1.0,1.048679304188062e-06,0.6628690037191668,0.000313211179899,0.0034894536567337,-0.0003288516907598,-0.0032939833909447,1.0944604012025509e-06,-1.142045236345972e-12,0.0003452029600853,1.9999998808349173,-2.54463117244086e-13,1.667895357972269e-13,6.757297407791158,6.749969834062279,2.121856099375456,2.121316195950262,885186.3039301428,0.968083865172874,0.9999988827389906,0.4258028973435935,0.4374993715408577,0.0010435447869398,0.0010432777476371,1.0887070905321003e-06,-0.0010435448986902,-0.0010432776679908,1.088707124055415e-06,1.372285523951592e-10,0.9999955309696932,1.5011804605894092,1.4999983241122306,0.0007880918652881,0.0010855713298008,0.0002545134130521,3.0791858570471346e-08,6.77126919949724,2.124242450234044,-0.002063393330621,-0.0011233891208251,1.5225965855954886e-13
3.0,3.146038163983276e-06,0.6628689972964329,0.0003673908578437,0.0041314272056354,-0.0003891064979311,-0.0038602190960089,1.5207801148816088e-06,-3.904116372851603e-12,0.0006023637395289,1.9999996371579365,-2.807754029277021e-13,1.7679718171449153e-13,23.100026694558352,23.0612649871184,3.702544075653864,3.700837122786005,884245.7793087054,1.2100580289669312,1.2182856729184497,0.5628733727784186,0.5668857059442123,0.0012295030632958,0.0012290679647677,1.5111429223360892e-06,-0.001229503312504,-0.0012290677048745,1.511142909312027e-06,3.600684053685107e-10,2.999986832656317,2.0836625827982798,2.081135707171348,0.0012141810926717,0.0016808144506211,0.0004612342589599,8.618683282023153e-09,23.16118332452632,3.7082902450779054,-0.0026404795087998,-0.0015495468381066,1.8018629721881827e-13
10.0,1.0486794920275749e-05,0.6628689748168076,0.0004582555941525,0.0052352100448079,-0.0004925709253211,-0.0048072546003495,2.4063517553674293e-06,-1.8524283961107715e-11,0.001261676249289,1.9999984081732527,1.7630341631047488e-13,1.5706437931535013e-13,109.60519952088846,109.29971368411476,7.755134673032641,7.748663043148484,882339.4996061226,1.3391122692078317,1.3520054097365477,0.6436612339170148,0.6521326129677494,0.0015452529129611,0.001544396001158,2.3864827867039534e-06,-0.001545253712978,-0.0015443948054406,2.3864821762722483e-06,1.4386685048565204e-09,9.99995710088965,3.2906383728813484,3.28387640272826,0.0020591427093512,0.002794937209594,0.0008351930969406,2.557871812229418e-07,110.04318712955006,7.774042964591503,-0.0039801428883186,-0.0024322339926578,2.283691860280479e-13
30.0,3.146039431551358e-05,0.6628689105888305,0.0005752092028203,0.0067079526464948,-0.0006304058335153,-0.0060211977814311,3.877210828697033e-06,-8.523839391964293e-11,0.0026516742258303,1.99999296862792,9.490186414495838e-13,4.195965908734261e-14,504.3418246026435,502.03950082385,16.299023415802708,16.275888573888015,879221.3913023741,1.416459003851278,1.417029645466691,0.6937533220093958,0.6948383912665069,0.0019591427691905,0.0019574198302101,3.834866390885872e-06,-0.0019591455905635,-0.0019574144231268,3.834861334444662e-06,6.09890938092742e-09,29.99988041378957,5.28776430780411,5.269686605044631,0.0034305081334767,0.004585941494674,0.0014214180571258,1.318544297102013e-06,507.5117531162199,16.362643498088975,-0.0062460199081349,-0.0038881298302256,2.93214170173838e-13
100.0,0.0001048680879015,0.6628686857853622,0.0007485862097135,0.0090055971161717,-0.0008451300169163,-0.0078099238563484,6.798164197375186e-06,-4.832826979428951e-10,0.0062330648896657,1.999961149027865,7.245315458703774e-13,3.87855598783759e-14,2859.505751706086,2836.5651608691605,38.31272695538906,38.214785105241965,873138.8972546596,1.4411856634433151,1.455487833539829,0.7098800057863431,0.7203498692580607,0.0025893034766064,0.0025854347543235,6.694482681415188e-06,-0.0025893164878868,-0.0025854045410231,6.694438257592869e-06,3.289584994607068e-08,99.99970326870378,9.230790065106463,9.174662958958567,0.0061176204945042,0.0080874542046113,0.0025629308100874,6.635885763403929e-06,2890.5071767117797,38.57275373847353,-0.0107252544658824,-0.0067412035149855,3.9630820432322956e-13
