quantity,value
alpha_lin,0.0946271414514154
alpha_bal,0.0946271414515316
A,203.67235802390138
B,-408.30871204513164
rho,2.0011829182526855
sigma,-0.004733072306335014
d,27009.26240384307
e,271555.8349861755
f,512441.2287884001
g,75140.77917338767
G,886147.1053518064
Delta6,-289016.9105717692
eta,21.36198669357907
